domain,version,name,firstCompanyName,category,street,city,zip,phone,email,website_title,website_url,website_description,website_images,created,utc_time_create,person,og_title,og_description,og_image,og_site_name,og_url,raw_details
http://insystems.de/,1,ASTI Mobile Robotics GmbH,,IT-BERATUNG,"Wagner-Regeny-Str. 16,",Berlin-Adlershof,12489,030 63 92 25 10,,,,,,1729562417756,,,,,,,,"{""domain"": ""http://insystems.de/"", ""version"": ""1"", ""name"": ""ASTI Mobile Robotics GmbH"", ""category"": ""IT-BERATUNG"", ""contact"": {""street"": ""Wagner-Regeny-Str. 16,"", ""city"": ""Berlin-Adlershof"", ""zip"": ""12489"", ""phone"": ""030 63 92 25 10"", ""email"": """"}, ""websiteInfo"": {}, ""created"": 1729562417756}"
http://jalada.de/,3,jalada GmbH,,IT-ANLAGEN,"Klaus-Groth-Str. 58,",Hamburg-Borgfelde,20535,040 41 11 39 98,,,,,,1729577545343,,,,,,,,"{""domain"": ""http://jalada.de/"", ""version"": ""3"", ""name"": ""jalada GmbH"", ""category"": ""IT-ANLAGEN"", ""contact"": {""street"": ""Klaus-Groth-Str. 58,"", ""city"": ""Hamburg-Borgfelde"", ""zip"": ""20535"", ""phone"": ""040 41 11 39 98"", ""email"": """"}, ""websiteInfo"": {}, ""created"": 1729577545343}"
http://mess-data.de/,3,mess-DATA EDV GmbH & Co. KG,,IT-ANLAGEN,"Husemannstr. 43,",Gelsenkirchen-Altstadt,45879,0209 9 23 49-0,info@mess-data.de,,,,,1729577547173,,,,,,,,"{""domain"": ""http://mess-data.de/"", ""version"": ""3"", ""name"": ""mess-DATA EDV GmbH & Co. KG"", ""category"": ""IT-ANLAGEN"", ""contact"": {""street"": ""Husemannstr. 43,"", ""city"": ""Gelsenkirchen-Altstadt"", ""zip"": ""45879"", ""phone"": ""0209 9 23 49-0"", ""email"": ""info@mess-data.de""}, ""websiteInfo"": {}, ""created"": 1729577547173}"
https://comdat-edv.de/,3,Comdat EDV-Systeme IT-Systemhaus,,IT-DIENSTLEISTUNGEN,"Wambeler Hellweg 1,",Dortmund-Wambel,44143,0231 9 27 39 50,service@comdat-edv.de,Comdat IT Systemhaus - Ihr regionaler IT-Partner,https://www.comdat-edv.de/,"Das IT Systemhaus in Unna. Wir bieten IT Dienstleistungen in den Bereichen Betreuung, Beratung, Support, Netzwerk und Reparatur defekter PC-Hardware.",https://www.comdat-edv.de/wp-content/uploads/2023/10/Logo-neu-schmal-300x73.jpeg;https://www.comdat-edv.de/wp-content/uploads/2020/10/peter_jarecki.jpg,1729577708878,,,Comdat IT Systemhaus - Ihr regionaler IT-Partner,"Das IT Systemhaus in Unna. Wir bieten IT Dienstleistungen in den Bereichen Betreuung, Beratung, Support, Netzwerk und Reparatur defekter PC-Hardware.",,Comdat,https://www.comdat-edv.de/,"{""domain"": ""https://comdat-edv.de/"", ""version"": ""3"", ""name"": ""Comdat EDV-Systeme IT-Systemhaus"", ""category"": ""IT-DIENSTLEISTUNGEN"", ""contact"": {""street"": ""Wambeler Hellweg 1,"", ""city"": ""Dortmund-Wambel"", ""zip"": ""44143"", ""phone"": ""0231 9 27 39 50"", ""email"": ""service@comdat-edv.de""}, ""websiteInfo"": {""meta"": {""title"": ""Comdat IT Systemhaus - Ihr regionaler IT-Partner"", ""url"": ""https://www.comdat-edv.de/"", ""description"": ""Das IT Systemhaus in Unna. Wir bieten IT Dienstleistungen in den Bereichen Betreuung, Beratung, Support, Netzwerk und Reparatur defekter PC-Hardware.""}, ""og"": {""type"": ""website"", ""title"": ""Comdat IT Systemhaus - Ihr regionaler IT-Partner"", ""description"": ""Das IT Systemhaus in Unna. Wir bieten IT Dienstleistungen in den Bereichen Betreuung, Beratung, Support, Netzwerk und Reparatur defekter PC-Hardware."", ""url"": ""https://www.comdat-edv.de/"", ""site_name"": ""Comdat""}, ""images"": [{""src"": ""https://www.comdat-edv.de/wp-content/uploads/2023/10/Logo-neu-schmal-300x73.jpeg""}, {""src"": ""https://www.comdat-edv.de/wp-content/uploads/2020/10/peter_jarecki.jpg""}]}, ""created"": 1729577708878}"
http://jjgl-edv.de/,3,JJGl-EDV Dienstleistungen,,IT-ANLAGEN,"Dossestr. 14,",Bernau bei Berlin,16321,03338 7 06 89 65,service@jjgl-edv.info,JJGl-EDV - PC und Laptop - Win10 Update zum Festpreis,,Update auf Windows 10 Ihres PC oder Laptop durch JJGL-EDV. Festpreis f�r Computer Umr�stung auf Win10 - Bei Ihnen vor Ort und rund um Bernau. Besuchen Sie unsere Webseite und lassen Sie Ihren PC jetzt umr�sten.,https://www.jjgl-edv.de/notebook/notebook.gif;http://jjgl-edv.de/notebook/Laptop.jpg,1729579128594,,,,,,,,"{""domain"": ""http://jjgl-edv.de/"", ""version"": ""3"", ""name"": ""JJGl-EDV Dienstleistungen"", ""category"": ""IT-ANLAGEN"", ""contact"": {""street"": ""Dossestr. 14,"", ""city"": ""Bernau bei Berlin"", ""zip"": ""16321"", ""phone"": ""03338 7 06 89 65"", ""email"": ""service@jjgl-edv.info""}, ""websiteInfo"": {""meta"": {""title"": ""JJGl-EDV - PC und Laptop - Win10 Update zum Festpreis"", ""description"": ""Update auf Windows 10 Ihres PC oder Laptop durch JJGL-EDV. Festpreis f\ufffdr Computer Umr\ufffdstung auf Win10 - Bei Ihnen vor Ort und rund um Bernau. Besuchen Sie unsere Webseite und lassen Sie Ihren PC jetzt umr\ufffdsten.""}, ""og"": {}, ""images"": [{""src"": ""https://www.jjgl-edv.de/notebook/notebook.gif""}, {""src"": ""http://jjgl-edv.de/notebook/Laptop.jpg""}]}, ""created"": 1729579128594}"
https://okmw.de/,1,OK Media Webconsulting,,IT-BERATUNG,"Untergasse 2,",Bischofsheim,65474,06144 40 21 97,info@ok-media-service.de,DIGITAL BERATER – We turn on your business,https://www.okmw.de/,,https://www.okmw.de/wp-content/uploads/2017/02/cropped-startseite_ok_media_webconsulting.jpg;https://www.okmw.de/wp-content/uploads/2017/09/cropped-logo-okmedia-1-1.jpg,1729572436173,,,,,,,,"{""domain"": ""https://okmw.de/"", ""version"": ""1"", ""name"": ""OK Media Webconsulting"", ""category"": ""IT-BERATUNG"", ""contact"": {""street"": ""Untergasse 2,"", ""city"": ""Bischofsheim"", ""zip"": ""65474"", ""phone"": ""06144 40 21 97"", ""email"": ""info@ok-media-service.de""}, ""websiteInfo"": {""meta"": {""title"": ""DIGITAL BERATER \u2013 We turn on your business"", ""url"": ""https://www.okmw.de/""}, ""og"": {}, ""images"": [{""src"": ""https://www.okmw.de/wp-content/uploads/2017/02/cropped-startseite_ok_media_webconsulting.jpg""}, {""src"": ""https://www.okmw.de/wp-content/uploads/2017/09/cropped-logo-okmedia-1-1.jpg""}]}, ""created"": 1729572436173}"
http://030-datenrettung.de/,3,030 Datenrettung Berlin GmbH,,IT-DIENSTLEISTUNGEN,"Mühlenstr. 38,",Berlin-Pankow,13187,030 53 14 19 80,info@030-datenrettung.de,Datenrettung von Festplatte RAID NAS Server SSD ✅,https://www.030-datenrettung.de,"Datenrettung Festplatte, RAID, NAS Systeme, Server, SSD ✅ Zertifiziert ✅ D Labor ✅ Festpreis ✅ 24/7 Express-Datenrettung ☎️ Jetzt Daten retten!","http://030-datenrettung.de/wp-content/uploads/2023/04/030-Datenrettung-Berlin-GmbH-Logo.svg;https://cache.030-datenrettung.de/wp-content/uploads/2023/04/RAID-Datenrettung.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2024/10/6717d956c3ac2ef1e5c1e8b01aa5dd0d.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2024/10/f3c1de29052a5c52165d0d6866296f34.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2024/10/ebec9dba8e34dbd1aafb2cc7da8cef51.jpg;data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-von-RAID-Server.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-NAS-wiederherstellen.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-von-Festplatte.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-SSD.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-Flash-USB-Stick-CF-SD.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/09/Datenrettung-Apple-Mac.jpg;https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Festplatte-defekt-was-tun.jpg",1729577551594,,,Datenrettung von Festplatte RAID NAS Server SSD ✅,"Datenrettung Festplatte, RAID, NAS Systeme, Server, SSD ✅ Zertifiziert ✅ D Labor ✅ Festpreis ✅ 24/7 Express-Datenrettung ☎️ Jetzt Daten retten!",https://cache.030-datenrettung.de/wp-content/uploads/2021/07/Datenrettung-Festplatte.jpg,030 Datenrettung Berlin: Datenrettung und Datenwiederherstellung Festplatte RAID NAS Server SSD und Flash.,https://www.030-datenrettung.de,"{""domain"": ""http://030-datenrettung.de/"", ""version"": ""3"", ""name"": ""030 Datenrettung Berlin GmbH"", ""category"": ""IT-DIENSTLEISTUNGEN"", ""contact"": {""street"": ""M\u00fchlenstr. 38,"", ""city"": ""Berlin-Pankow"", ""zip"": ""13187"", ""phone"": ""030 53 14 19 80"", ""email"": ""info@030-datenrettung.de""}, ""websiteInfo"": {""meta"": {""title"": ""Datenrettung von Festplatte RAID NAS Server SSD \u2705"", ""url"": ""https://www.030-datenrettung.de"", ""description"": ""Datenrettung Festplatte, RAID, NAS Systeme, Server, SSD \u2705 Zertifiziert \u2705 D Labor \u2705 Festpreis \u2705 24/7 Express-Datenrettung \u260e\ufe0f Jetzt Daten retten!""}, ""og"": {""type"": ""website"", ""title"": ""Datenrettung von Festplatte RAID NAS Server SSD \u2705"", ""description"": ""Datenrettung Festplatte, RAID, NAS Systeme, Server, SSD \u2705 Zertifiziert \u2705 D Labor \u2705 Festpreis \u2705 24/7 Express-Datenrettung \u260e\ufe0f Jetzt Daten retten!"", ""url"": ""https://www.030-datenrettung.de"", ""site_name"": ""030 Datenrettung Berlin: Datenrettung und Datenwiederherstellung Festplatte RAID NAS Server SSD und Flash."", ""image"": ""https://cache.030-datenrettung.de/wp-content/uploads/2021/07/Datenrettung-Festplatte.jpg""}, ""images"": [{""src"": ""http://030-datenrettung.de/wp-content/uploads/2023/04/030-Datenrettung-Berlin-GmbH-Logo.svg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2023/04/RAID-Datenrettung.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2024/10/6717d956c3ac2ef1e5c1e8b01aa5dd0d.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2024/10/f3c1de29052a5c52165d0d6866296f34.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2024/10/ebec9dba8e34dbd1aafb2cc7da8cef51.jpg""}, {""src"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-von-RAID-Server.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-NAS-wiederherstellen.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-von-Festplatte.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-SSD.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Datenrettung-Flash-USB-Stick-CF-SD.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/09/Datenrettung-Apple-Mac.jpg""}, {""src"": ""https://cache.030-datenrettung.de/wp-content/uploads/2019/06/Festplatte-defekt-was-tun.jpg""}]}, ""created"": 1729577551594}"
http://rlischke.de/,1,Rainer Lischke EDV-Beratung,,IT-BERATUNG,"Gartenstr. 19,",Hanau-Steinheim,63456,06181 6 19 44,,Homepage Familie Lischke,,Homepage von Familie Lischke,http://home.t-online.de/home/rainer.lischke/familie.gif;http://webcounter.goweb.de/74337,1729573456889,,,,,,,,"{""domain"": ""http://rlischke.de/"", ""version"": ""1"", ""name"": ""Rainer Lischke EDV-Beratung"", ""category"": ""IT-BERATUNG"", ""contact"": {""street"": ""Gartenstr. 19,"", ""city"": ""Hanau-Steinheim"", ""zip"": ""63456"", ""phone"": ""06181 6 19 44"", ""email"": """"}, ""websiteInfo"": {""meta"": {""title"": ""Homepage Familie Lischke"", ""description"": ""Homepage von Familie Lischke""}, ""og"": {}, ""images"": [{""src"": ""http://home.t-online.de/home/rainer.lischke/familie.gif""}, {""src"": ""http://webcounter.goweb.de/74337""}]}, ""created"": 1729573456889}"
http://cab-solutions.de/,3,CAB IT-Systemhaus GmbH,,IT-BERATUNG,"Stühlinger Str. 19,",Freiburg im Breisgau-Stühlinger,79106,0761 45 64 66 46,,IT-Beratung & Systemkonzeption. IT-Systemhaus aus Freiburg | CAB,https://cab-systemhaus.de,Ganzheitliche IT-Beratung & EDV-Betreuung aus Freiburg. Ihr starker Partner in der Nähe für ✓ IT-Security ✓ IT-Infrastruktur ✓ IT-Services ✓ Softwarelösungen.,http://cab-solutions.de/assets/cab_text_blue.svg;http://cab-solutions.de/assets/icon/icon_konto.svg;http://cab-solutions.de/assets/icon/icon_lupe.svg;http://cab-solutions.de/assets/cab_text_blue.svg;http://cab-solutions.de/assets/icon/icon_konto.svg;http://cab-solutions.de/assets/icon/icon_lupe.svg;https://cab-systemhaus.de/images/slides/slide-1.webp;https://cab-systemhaus.de/images/slides/slide-23.webp;https://cab-systemhaus.de/images/slides/slide-3.webp;https://cab-systemhaus.de/images/slides/slide-4.webp;https://cab-systemhaus.de/images/slides/slide-5.webp;http://cab-solutions.de/assets/img/home_itpartner.webp;http://cab-solutions.de/assets/img/home_businessentscheider.webp;http://cab-solutions.de/assets/img/home_itleiter.webp;http://cab-solutions.de/assets/img/home_privatkunden.webp;http://cab-solutions.de/assets/img/home_gf.webp;http://cab-solutions.de/assets/img/home_itsecurity.webp;http://cab-solutions.de/assets/img/home_itinfrastruktur.webp;http://cab-solutions.de/assets/img/home_services.webp;http://cab-solutions.de/assets/img/home_software.webp;https://cab-systemhaus.de/images/slides/slide-9.webp;https://cab-systemhaus.de/images/slides/slide-38.webp;https://cab-systemhaus.de/images/slides/slide-27.webp;https://cab-systemhaus.de/images/slides/slide-8.webp;http://cab-solutions.de/assets/img/privatkunden_shopstuehli.webp;http://cab-solutions.de/assets/img/privatkunden_shopcity.webp;http://cab-solutions.de/assets/img/privatkunden_onlineshop.webp;http://cab-solutions.de/assets/img/home_itsecurityexperte_fs.webp;http://cab-solutions.de/assets/partner/partner_microsoft.webp;http://cab-solutions.de/assets/partner/partner_docuware.webp;http://cab-solutions.de/assets/partner/partner_starface.webp;http://cab-solutions.de/assets/partner/partner_mailstore.webp;http://cab-solutions.de/assets/partner/partner_veeam.webp;http://cab-solutions.de/assets/partner/partner_lancom.webp;http://cab-solutions.de/assets/partner/partner_vmware.webp;http://cab-solutions.de/assets/partner/partner_seppmail.webp;http://cab-solutions.de/assets/partner/partner_trendmicro.webp;http://cab-solutions.de/assets/partner/partner_skykick.webp;http://cab-solutions.de/assets/img/gehlert_logo.webp;http://cab-solutions.de/assets/img/kaisers_logo.svg;http://cab-solutions.de/assets/img/radlabor-logo.svg;http://cab-solutions.de/assets/img/jhw_logo.webp;http://cab-solutions.de/assets/partner/BZH_logo.svg;http://cab-solutions.de/assets/partner/grafried-logo.webp;http://cab-solutions.de/assets/partner/sacker-logo.svg;http://cab-solutions.de/assets/partner/stauss-immobilien.webp;http://cab-solutions.de/images/hersteller/asus_70010.png;http://cab-solutions.de/images/hersteller/amd_70013.png;http://cab-solutions.de/images/hersteller/intel_70018.jpg;http://cab-solutions.de/images/hersteller/wortmann_ag-terra_70021.svg;http://cab-solutions.de/images/hersteller/hewlett_packard_70027.jpg;http://cab-solutions.de/images/hersteller/brother_70041.jpg;http://cab-solutions.de/images/hersteller/samsung_70060.jpg;http://cab-solutions.de/images/hersteller/lg_electronics_70071.jpg;http://cab-solutions.de/images/hersteller/lenovo_70176.png;http://cab-solutions.de/images/hersteller/canon_70199.svg;http://cab-solutions.de/images/team/sonja_zipfel.webp;http://cab-solutions.de/assets/icon/icon_fernwartung.svg;http://cab-solutions.de/assets/icon/icon_helpdesk_home.svg;http://cab-solutions.de/assets/cab_text_white.svg;http://cab-solutions.de/assets/icon/icon_google.svg;http://cab-solutions.de/assets/icon/icon_golocal.svg;http://cab-solutions.de/assets/icon/icon_kununu.svg;http://cab-solutions.de/assets/icon/icon_insta.svg;http://cab-solutions.de/assets/icon/icon_linkedin.svg;http://cab-solutions.de/assets/icon/icon_xing.svg,1729577552011,,,IT-Beratung & Systemkonzeption.,Ganzheitliche IT-Beratung & EDV-Betreuung aus Freiburg. Ihr,https://cab-systemhaus.de/android-chrome-512x512.png,,https://cab-systemhaus.de,"{""domain"": ""http://cab-solutions.de/"", ""version"": ""3"", ""name"": ""CAB IT-Systemhaus GmbH"", ""category"": ""IT-BERATUNG"", ""contact"": {""street"": ""St\u00fchlinger Str. 19,"", ""city"": ""Freiburg im Breisgau-St\u00fchlinger"", ""zip"": ""79106"", ""phone"": ""0761 45 64 66 46"", ""email"": """"}, ""websiteInfo"": {""meta"": {""title"": ""IT-Beratung & Systemkonzeption. IT-Systemhaus aus Freiburg | CAB"", ""url"": ""https://cab-systemhaus.de"", ""description"": ""Ganzheitliche IT-Beratung & EDV-Betreuung aus Freiburg. Ihr starker Partner in der N\u00e4he f\u00fcr \u2713 IT-Security \u2713 IT-Infrastruktur \u2713 IT-Services \u2713 Softwarel\u00f6sungen.""}, ""og"": {""title"": ""IT-Beratung & Systemkonzeption."", ""description"": ""Ganzheitliche IT-Beratung & EDV-Betreuung aus Freiburg. Ihr"", ""url"": ""https://cab-systemhaus.de"", ""image"": ""https://cab-systemhaus.de/android-chrome-512x512.png"", ""type"": ""website""}, ""images"": [{""src"": ""http://cab-solutions.de/assets/cab_text_blue.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_konto.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_lupe.svg""}, {""src"": ""http://cab-solutions.de/assets/cab_text_blue.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_konto.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_lupe.svg""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-1.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-23.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-3.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-4.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-5.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_itpartner.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_businessentscheider.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_itleiter.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_privatkunden.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_gf.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_itsecurity.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_itinfrastruktur.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_services.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_software.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-9.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-38.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-27.webp""}, {""src"": ""https://cab-systemhaus.de/images/slides/slide-8.webp""}, {""src"": ""http://cab-solutions.de/assets/img/privatkunden_shopstuehli.webp""}, {""src"": ""http://cab-solutions.de/assets/img/privatkunden_shopcity.webp""}, {""src"": ""http://cab-solutions.de/assets/img/privatkunden_onlineshop.webp""}, {""src"": ""http://cab-solutions.de/assets/img/home_itsecurityexperte_fs.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_microsoft.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_docuware.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_starface.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_mailstore.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_veeam.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_lancom.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_vmware.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_seppmail.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_trendmicro.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/partner_skykick.webp""}, {""src"": ""http://cab-solutions.de/assets/img/gehlert_logo.webp""}, {""src"": ""http://cab-solutions.de/assets/img/kaisers_logo.svg""}, {""src"": ""http://cab-solutions.de/assets/img/radlabor-logo.svg""}, {""src"": ""http://cab-solutions.de/assets/img/jhw_logo.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/BZH_logo.svg""}, {""src"": ""http://cab-solutions.de/assets/partner/grafried-logo.webp""}, {""src"": ""http://cab-solutions.de/assets/partner/sacker-logo.svg""}, {""src"": ""http://cab-solutions.de/assets/partner/stauss-immobilien.webp""}, {""src"": ""http://cab-solutions.de/images/hersteller/asus_70010.png""}, {""src"": ""http://cab-solutions.de/images/hersteller/amd_70013.png""}, {""src"": ""http://cab-solutions.de/images/hersteller/intel_70018.jpg""}, {""src"": ""http://cab-solutions.de/images/hersteller/wortmann_ag-terra_70021.svg""}, {""src"": ""http://cab-solutions.de/images/hersteller/hewlett_packard_70027.jpg""}, {""src"": ""http://cab-solutions.de/images/hersteller/brother_70041.jpg""}, {""src"": ""http://cab-solutions.de/images/hersteller/samsung_70060.jpg""}, {""src"": ""http://cab-solutions.de/images/hersteller/lg_electronics_70071.jpg""}, {""src"": ""http://cab-solutions.de/images/hersteller/lenovo_70176.png""}, {""src"": ""http://cab-solutions.de/images/hersteller/canon_70199.svg""}, {""src"": ""http://cab-solutions.de/images/team/sonja_zipfel.webp""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_fernwartung.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_helpdesk_home.svg""}, {""src"": ""http://cab-solutions.de/assets/cab_text_white.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_google.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_golocal.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_kununu.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_insta.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_linkedin.svg""}, {""src"": ""http://cab-solutions.de/assets/icon/icon_xing.svg""}]}, ""created"": 1729577552011}"
http://kriegel.de/,3,Kriegel Hartmut EDV-Systemlösungen,,IT-ANLAGEN,"Breite Str. 19,",Angermünde-Greiffenberg,16278,033334 6 03,,EDV-Systemlösungen Hartmut Kriegel,,"Dipl. Ing. Hartmut Kriegel - Studium der Energieanwendung und Informatik. Informatiker, Techniker und offen für neue Technologien. Ständige Weiterbildung und eine Sicht für globale Zusammenhänge in internationalen Projekten können mit Referenzen und Zertifikaten belegt werden.",http://kriegel.de/img/bg/logo-web.png;http://kriegel.de/img/bg/7.JPG;http://kriegel.de/img/bg/2.jpg;http://kriegel.de/img/bg/6.JPG;http://kriegel.de/img/bg/4.jpg;http://kriegel.de/img/bg/Hartmut_Kriegel_1.jpg;http://kriegel.de/img/bg/Hartmut_Kriegel_2.jpg;http://kriegel.de/img/bg/Hartmut_Kriegel_1.jpg;http://kriegel.de/img/Einblick.jpg;http://kriegel.de/img/boot.jpg;http://kriegel.de/quform/captcha.php;http://kriegel.de/img/bg/logo-web.png,1729579132737,,,,,,,,"{""domain"": ""http://kriegel.de/"", ""version"": ""3"", ""name"": ""Kriegel Hartmut EDV-Systeml\u00f6sungen"", ""category"": ""IT-ANLAGEN"", ""contact"": {""street"": ""Breite Str. 19,"", ""city"": ""Angerm\u00fcnde-Greiffenberg"", ""zip"": ""16278"", ""phone"": ""033334 6 03"", ""email"": """"}, ""websiteInfo"": {""meta"": {""title"": ""EDV-Systeml\u00f6sungen Hartmut Kriegel"", ""description"": ""Dipl. Ing. Hartmut Kriegel - Studium der Energieanwendung und Informatik. Informatiker, Techniker und offen f\u00fcr neue Technologien. St\u00e4ndige Weiterbildung und eine Sicht f\u00fcr globale Zusammenh\u00e4nge in internationalen Projekten k\u00f6nnen mit Referenzen und Zertifikaten belegt werden.""}, ""og"": {}, ""images"": [{""src"": ""http://kriegel.de/img/bg/logo-web.png""}, {""src"": ""http://kriegel.de/img/bg/7.JPG""}, {""src"": ""http://kriegel.de/img/bg/2.jpg""}, {""src"": ""http://kriegel.de/img/bg/6.JPG""}, {""src"": ""http://kriegel.de/img/bg/4.jpg""}, {""src"": ""http://kriegel.de/img/bg/Hartmut_Kriegel_1.jpg""}, {""src"": ""http://kriegel.de/img/bg/Hartmut_Kriegel_2.jpg""}, {""src"": ""http://kriegel.de/img/bg/Hartmut_Kriegel_1.jpg""}, {""src"": ""http://kriegel.de/img/Einblick.jpg""}, {""src"": ""http://kriegel.de/img/boot.jpg""}, {""src"": ""http://kriegel.de/quform/captcha.php""}, {""src"": ""http://kriegel.de/img/bg/logo-web.png""}]}, ""created"": 1729579132737}"
